守望相助	以 5 人組隊，使用 3 名或以上帶有治癒或護盾能力的英雄贏得對戰	31	亞歷斯塔,安妮,巴德,菲歐拉,加里歐,埃爾文,珍娜,卡瑪,凱爾,鏡爪,李星,露璐,拉克絲,魔甘娜,娜米,奈德麗,淣菈,奧莉安娜,銳空,銳兒,睿娜妲．格萊斯克,姍娜,瑟菈紛,慎,索娜,索拉卡,貪啃奇,塔里克,瑟雷西,悠咪,極靈
無處可躲	以 5 人組隊，使用 3 名或以上帶有全球流技能的英雄贏得對戰	29	埃可尚,艾希,巴德,凱特琳,達瑞文,伊澤瑞爾,加里歐,剛普朗克,燼,吉茵珂絲,凱莎,卡爾瑟斯,克雷德,莉莉亞,拉克絲,茂凱,夜曲,潘森,雷茲,姍娜,慎,賽恩,索拉卡,斯溫,塔莉雅,逆命,薇可絲,齊勒斯,希格斯
生化科技麻吉	以 5 人組隊，全部使用來自佐恩的英雄贏得對戰	14	布里茨,蒙多醫生,艾克,珍娜,吉茵珂絲,睿娜妲．格萊斯克,辛吉德,圖奇,烏爾加特,維克特,沃維克,札克,婕莉,希格斯
力量至上	以 5 人組隊，全部使用來自諾克薩斯的英雄贏得對戰	13	卡莎碧雅,達瑞斯,達瑞文,卡特蓮娜,克雷德,勒布朗,銳兒,雷玟,煞蜜拉,賽恩,斯溫,塔隆,弗拉迪米爾
冰雪奇緣	以 5 人組隊，全部使用來自弗雷爾卓德的英雄贏得對戰	14	艾妮維亞,艾希,布郎姆,吶兒,古拉格斯,麗珊卓,努努和威朗普,歐拉夫,鄂爾,史瓦妮,特朗德,泰達米爾,烏迪爾,弗力貝爾
超越顛峰	以 5 人組隊，全部使用來自巨石峰的英雄贏得對戰	8	亞菲利歐,翱銳龍獸,黛安娜,雷歐娜,潘森,索拉卡,塔里克,柔依
計畫通	以 5 人組隊，全部使用來自皮爾托福的英雄贏得對戰	9	凱特琳,卡蜜兒,庫奇,伊澤瑞爾,漢默丁格,杰西,奧莉安娜,瑟菈紛,菲艾
小矮人齊打交	以 5 人組隊，全部使用來自班德爾城的英雄贏得對戰	15	庫奇,飛斯,吶兒,漢默丁格,凱能,克雷德,露璐,波比,藍寶,提摩,崔絲塔娜,維迦,薇可絲,悠咪,希格斯
海賊團出航	以 5 人組隊，全部使用來自比爾吉沃特的英雄贏得對戰	9	飛斯,剛普朗克,葛雷夫,伊羅旖,好運姐,納帝魯斯,派克,貪啃奇,逆命
為了蒂瑪西亞	以 5 人組隊，全部使用來自蒂瑪西亞的英雄贏得對戰	15	菲歐拉,加里歐,蓋倫,嘉文四世,凱爾,路西恩,拉克絲,魔甘娜,波比,葵恩,希瓦娜,索娜,賽勒斯,汎,趙信
就決定是你了	以 5 人組隊，全部使用帶有召喚物或寵物的英雄贏得對戰	18	安妮,阿祈爾,伊莉絲,費德提克,漢默丁格,伊羅旖,埃爾文,克黎思妲,鏡爪,麗珊卓,馬爾札哈,茂凱,妮可,奧莉安娜,薩科,約瑞科,劫,枷蘿
